,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
44,Data Scientist / Machine Learning Engineer,-1,-1,Bright Apps LLC,"San Francisco, CA",-1,-1,-1,-1,-1,-1
45,Senior Data Scientist,"$148,858 /yr (est.)",4.4,"Intuit - Data
4.4","Mountain View, CA",10000+ Employees,1983,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
46,Data Scientist,"$141,810 /yr (est.)",4.4,"PocketPills
4.4","San Francisco, CA",51 to 200 Employees,2018,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
47,Data Scientist,"$130,565 /yr (est.)",3.7,"Mercury
3.7","San Francisco, CA",501 to 1000 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
48,Data Scientist,"$119,357 /yr (est.)",4.2,"Autodesk
4.2","San Francisco, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$1 to $5 billion (USD)
49,Data Scientist,"$103,923 /yr (est.)",4.0,"Veeco
4.0","San Jose, CA",1001 to 5000 Employees,1945,Company - Public,Machinery Manufacturing,Manufacturing,$100 to $500 million (USD)
50,Associate Data Scientist Inventory Management-1,-1,3.7,"Gap Inc.
3.7","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD)
51,Staff Data Scientist,"$164,608 /yr (est.)",4.4,"Intuit - Data
4.4","Mountain View, CA",10000+ Employees,1983,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
52,Staff Data Scientist - Marketing,"$153,946 /yr (est.)",4.0,"Uber
4.0","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
53,Data Scientist - Forecasting,"$128,194 /yr (est.)",3.8,"Amazon.com Services LLC
3.8","San Francisco, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
54,Data Scientist,"$124,220 /yr (est.)",4.1,"Blockchain.com
4.1","San Francisco, CA",51 to 200 Employees,2011,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
55,Data Scientist - TikTok Account,"$125,858 /yr (est.)",3.6,"TikTok
3.6","San Francisco, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
56,Associate Data Scientist Inventory Management-1,-1,3.7,"Gap Inc.
3.7","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD)
57,Data Scientist,"$119,061 /yr (est.)",4.0,"Visa
4.0","Foster City, CA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
58,"Data Scientist, Creative Cloud Education","$149,820 /yr (est.)",4.4,"Adobe
4.4","San Francisco, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
59,Data Scientist - Forecasting,"$128,194 /yr (est.)",3.8,"Amazon.com Services LLC
3.8","San Francisco, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
60,"Data Scientist, Product Analytics","$135,534 /yr (est.)",4.7,"Atlassian
4.7","San Francisco, CA",5001 to 10000 Employees,2002,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
61,Data Scientist,"$121,000 /yr (est.)",3.2,"Everlane
3.2","San Francisco, CA",51 to 200 Employees,2010,Company - Private,Other Retail Stores,Retail & Wholesale,$5 to $25 million (USD)
62,Data Scientist,"$112,440 /yr (est.)",3.3,"Fiserv, Inc.
3.3","San Jose, CA",10000+ Employees,1984,Company - Public,Financial Transaction Processing,Financial Services,$5 to $10 billion (USD)
63,Staff Data Scientist - Marketing,"$153,946 /yr (est.)",4.0,"Uber
4.0","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
64,Data Scientist,"$126,833 /yr (est.)",4.3,"Grid Dynamics
4.3","San Francisco, CA",1001 to 5000 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD)
65,Data Scientist - Machine Learning,"$123,886 /yr (est.)",4.3,"Denken Solutions Inc
4.3","San Francisco, CA",201 to 500 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
66,Senior Data Scientist,"$154,276 /yr (est.)",4.4,"Salesforce
4.4","San Francisco, CA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
67,Data Scientist,"$133,158 /yr (est.)",3.0,"Quantapore
3.0","San Francisco, CA",1 to 50 Employees,2009,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 million (USD)
68,"Senior Data Scientist, Analytics & Data","$128,230 /yr (est.)",3.3,"Williams Sonoma
3.3","San Francisco, CA",10000+ Employees,1956,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,Unknown / Non-Applicable
69,Senior Data Scientist,-1,3.7,"Gap Inc.
3.7","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD)
70,Data Scientist [Remote],$100.00 /hr (est.),4.6,"Braintrust
4.6","San Francisco, CA",Unknown,2018,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD)
71,Data Scientist (Business Analytics)-Remote,"$115,155 /yr (est.)",3.9,"JLL
3.9","San Francisco, CA",10000+ Employees,Company - Public,Real Estate,Real Estate,$5 to $10 billion (USD),-1
72,Data Scientist,"$114,068 /yr (est.)",3.0,"ELT Solutions
3.0","San Jose, CA",1 to 50 Employees,Self-employed,Unknown / Non-Applicable,-1,-1,-1
73,Data Scientist,"$122,887 /yr (est.)",5.0,"Gayathri's Sandbox
5.0","Menlo Park, CA",1 to 50 Employees,Contract,Less than $1 million (USD),-1,-1,-1
74,Data Scientist,"$119,357 /yr (est.)",4.2,"Autodesk
4.2","San Francisco, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$1 to $5 billion (USD)
75,Data Scientist,"$124,220 /yr (est.)",4.1,"Blockchain.com
4.1","San Francisco, CA",51 to 200 Employees,2011,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
76,Data Scientist,"$140,169 /yr (est.)",4.0,"Sia Partners
4.0","San Francisco, CA",1001 to 5000 Employees,1999,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
77,Data Scientist,"$80,500 /yr (est.)",-1,Dworo.io,"San Jose, CA",Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
78,Product Data Scientist,"$118,635 /yr (est.)",4.3,"Celonis SE
4.3","San Francisco, CA",1001 to 5000 Employees,2011,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
79,Data Scientist - Marketing,"$132,660 /yr (est.)",4.4,"Nextdoor
4.4","San Francisco, CA",201 to 500 Employees,2010,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
80,Data Scientist,"$116,666 /yr (est.)",4.3,"Iterative Scopes
4.3","San Francisco, CA",1 to 50 Employees,2017,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
81,"Data Scientist, Product","$131,692 /yr (est.)",4.9,"Notion
4.9","San Francisco, CA",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
82,Data Scientist,"$133,340 /yr (est.)",3.6,"Taskrabbit
3.6","San Francisco, CA",51 to 200 Employees,2008,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD)
83,Senior Data Scientist,"$148,858 /yr (est.)",4.4,"Intuit - Data
4.4","Mountain View, CA",10000+ Employees,1983,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
84,Data Scientist,"$122,077 /yr (est.)",3.3,"Walmart
3.3","Sunnyvale, CA",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD)
85,Associate Data Scientist Inventory Management-1,-1,3.7,"Gap Inc.
3.7","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD)
86,Data Scientist,"$119,061 /yr (est.)",4.0,"Visa
4.0","Foster City, CA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
87,Data Scientist,"$112,440 /yr (est.)",3.3,"Fiserv, Inc.
3.3","San Jose, CA",10000+ Employees,1984,Company - Public,Financial Transaction Processing,Financial Services,$5 to $10 billion (USD)
88,Data Scientist (Business Analytics)-Remote,"$115,155 /yr (est.)",3.9,"JLL
3.9","San Francisco, CA",10000+ Employees,Company - Public,Real Estate,Real Estate,$5 to $10 billion (USD),-1
89,Staff Data Scientist - Marketing,"$153,946 /yr (est.)",4.0,"Uber
4.0","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
90,Data Scientist - Forecasting,"$128,194 /yr (est.)",3.8,"Amazon.com Services LLC
3.8","San Francisco, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
91,"Data Scientist, Product Analytics","$135,534 /yr (est.)",4.7,"Atlassian
4.7","San Francisco, CA",5001 to 10000 Employees,2002,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
92,Data Scientist - Marketing,"$132,660 /yr (est.)",4.4,"Nextdoor
4.4","San Francisco, CA",201 to 500 Employees,2010,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
93,Data Scientist,"$121,000 /yr (est.)",3.2,"Everlane
3.2","San Francisco, CA",51 to 200 Employees,2010,Company - Private,Other Retail Stores,Retail & Wholesale,$5 to $25 million (USD)
94,Senior Data Scientist,"$154,276 /yr (est.)",4.4,"Salesforce
4.4","San Francisco, CA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
95,Data Scientist,"$114,068 /yr (est.)",3.0,"ELT Solutions
3.0","San Jose, CA",1 to 50 Employees,Self-employed,Unknown / Non-Applicable,-1,-1,-1
96,Data Scientist,"$122,887 /yr (est.)",5.0,"Gayathri's Sandbox
5.0","Menlo Park, CA",1 to 50 Employees,Contract,Less than $1 million (USD),-1,-1,-1
97,"Senior Data Scientist, Analytics & Data","$128,230 /yr (est.)",3.3,"Williams Sonoma
3.3","San Francisco, CA",10000+ Employees,1956,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,Unknown / Non-Applicable
98,Senior Data Scientist,-1,3.7,"Gap Inc.
3.7","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD)
99,Business/Data Analyst - REMOTE,$28.85 /hr (est.),4.1,"Splunk
4.1","San Francisco, CA",5001 to 10000 Employees,2003,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD)
